"Código de producto",Nombre,variant,expected,counted
10,"CANJE 10.0",,18.0000,
20,"CANJE 2.0",,9.0000,
30,"CANJE 3.0",,36.0000,
40,"CANJE 4.0",,28.0000,
7503035044054,"10.0 Ultra",,38.0000,
7503035044078,"4.0 Fucoxantina Fórmula Especial",,153.0000,
7503035044085,"BioMaussan Nutrein Arándano",,2.0000,
7503035044092,"BioMaussan Animalia",,25.0000,
7503035044108,"3.0 Astaxantina Fórmula Especial",,230.0000,
7503035044115,"2.0 Algas Marinas + Polifenoles de Manzana",,242.0000,
7503035044122,"Nutrein en Sobre",,12.0000,
7503035044146,"2.1 Algas Marinas Premium",,47.0000,
7503035044153,"2.0 Algas Marinas 600 ML.",,142.0000,
7506542900004,"Hidrogel Tepezcohuite",,23.0000,
